id,municipality,population,latitude,longitude,area_m2,P18LESS,P19MORE
89,ASSE,29558,50.908596,4.214611,50237868.93,6886,22672
90,BEERSEL,23587,50.751754,4.301134,30460744.63,5907,17680
91,BEVER,2093,50.712041,3.931404,19221992.48,524,1569
92,DILBEEK,39654,50.854611,4.23305,41467326.52,9040,30614
93,GALMAARDEN,8285,50.754208,3.987226,35265785.9,1869,6416
94,GOOIK,8931,50.782268,4.095011,40250272.61,2075,6856
95,GRIMBERGEN,34526,50.946011,4.375727,38574671.05,7674,26852
96,HALLE,35350,50.727681,4.236287,45042761.82,8084,27266
97,HERNE,6566,50.724215,4.035904,44727724.3,1539,5027
98,HOEILAART,10244,50.762295,4.450119,20470495.32,2580,7664
99,KAMPENHOUT,11090,50.942589,4.559876,33720240.4,2674,8416
100,KAPELLE-OP-DEN-BOS,8969,51.004989,4.353867,15404503.87,1925,7044
101,LIEDEKERKE,12206,50.867669,4.092293,10087681.67,2630,9576
102,LONDERZEEL,17525,51.011928,4.275641,36468610.04,3885,13640
103,MACHELEN,12953,50.904014,4.443289,11444101.64,3360,9593
104,MEISE,18466,50.962476,4.314833,35109970.44,4380,14086
105,MERCHTEM,15110,50.952605,4.246293,36920313.48,3447,11663
106,OPWIJK,12575,50.963765,4.179969,19942024.72,2813,9762
107,OVERIJSE,24394,50.772647,4.53205,45019532.34,6092,18302
108,PEPINGEN,4401,50.745574,4.146884,35973247.41,1050,3351
109,SINT-PIETERS-LEEUW,31119,50.788807,4.244059,40621611.62,7416,23703
110,STEENOKKERZEEL,11201,50.92247,4.498341,23520785.99,2587,8614
111,TERNAT,14781,50.869175,4.159426,24683492.99,3339,11442
112,VILVOORDE,38557,50.931576,4.43307,21598985.56,10185,28372
113,ZAVENTEM,29500,50.872682,4.485735,27751476.28,7232,22268
114,ZEMST,21700,50.980231,4.457249,43271173.99,5118,16582
115,ROOSDAAL,10934,50.838877,4.0966,21936445.02,2520,8414
116,DROGENBOS,4893,50.794984,4.308228,2539204.75,1204,3689
117,KRAAINEM,13080,50.846831,4.470582,5909406.98,3300,9780
118,LINKEBEEK,4721,50.769255,4.344746,4167286.29,1222,3499
119,SINT-GENESIUS-RODE,18021,50.745881,4.37309,22778351.51,4766,13255
120,WEMMEL,14916,50.910957,4.308595,8781676.54,3531,11385
121,WEZEMBEEK-OPPEM,13534,50.844373,4.491745,6838006.97,3631,9903
122,LENNIK,8747,50.814594,4.162922,31154150.49,1952,6795
123,AFFLIGEM,12229,50.905401,4.114874,17988941.83,2729,9500
124,AARSCHOT,28129,50.990325,4.86377,63031531.32,5388,22741
125,BEGIJNENDIJK,9647,51.008378,4.783827,17646656.23,2011,7636
126,BEKKEVOORT,5915,50.935725,4.977148,37229782.12,1321,4594
127,BERTEM,9435,50.855124,4.608996,29905223.27,2359,7076
128,BIERBEEK,9280,50.831462,4.766544,38982336.98,2148,7132
129,BOORTMEERBEEK,11673,50.981423,4.560064,18767137.47,2655,9018
130,BOUTERSEM,7538,50.836645,4.842004,31469426.03,1777,5761
131,DIEST,23025,51.002822,5.068336,58667298.27,4603,18422
132,GEETBETS,5837,50.892839,5.130348,35556038.9,1184,4653
133,HAACHT,13894,50.965382,4.640366,30701773.53,3263,10631
134,HERENT,19563,50.912011,4.645779,32602342.9,4787,14776
135,HOEGAARDEN,6356,50.780485,4.875478,34071804.5,1519,4837
136,HOLSBEEK,9460,50.931039,4.801058,38766260.65,2371,7089
