id,municipality,population,latitude,longitude,area_m2,P18LESS,P19MORE
391,VILLERS-LE-BOUILLET,6175,50.594676,5.241995,32862479.36,1637,4538
392,WANZE,12938,50.551612,5.19703,44183469.95,3234,9704
393,ANTHISNES,4003,50.490765,5.497853,37286173.5,960,3043
394,ENGIS,5769,50.558896,5.387922,27723128.22,1521,4248
395,TINLOT,2436,50.476544,5.379372,37265668.76,696,1740
396,ANS,27550,50.684119,5.505277,23273431.15,6175,21375
397,AWANS,8758,50.694187,5.454396,27186351.37,2082,6676
398,AYWAILLE,11227,50.458917,5.700728,79933401.86,2662,8565
399,BASSENGE,8483,50.766907,5.609235,38227357.22,2013,6470
400,BEYNE-HEUSAY,11857,50.629831,5.660822,7268724.75,2989,8868
401,CHAUDFONTAINE,20940,50.582887,5.632936,25571058.34,4558,16382
402,COMBLAIN-AU-PONT,5401,50.483103,5.579175,22565363.77,1340,4061
403,DALHEM,6647,50.722132,5.758153,36099125.89,1643,5004
404,ESNEUX,13065,50.538992,5.56814,34193194.38,2847,10218
405,FLERON,16161,50.616567,5.683256,13696478.3,3639,12522
406,HERSTAL,37685,50.68278,5.605781,23481925.89,8955,28730
407,JUPRELLE,8619,50.71672,5.545326,35483958.09,1981,6638
408,LIEGE,190102,50.633225,5.589709,68610303.2,39351,150751
409,OUPEYE,23669,50.722489,5.640578,36027220.39,5545,18124
410,SAINT-NICOLAS,22600,50.633584,5.525592,6879472.75,5236,17364
411,SERAING,61657,50.590526,5.515032,35281732.77,14371,47286
412,SOUMAGNE,15747,50.63393,5.730427,27227991.24,3963,11784
413,SPRIMONT,13211,50.520575,5.66561,74467902.13,3406,9805
414,VISE,16903,50.740659,5.686774,27982324.24,4016,12887
415,GRACE-HOLLOGNE,21813,50.639124,5.438485,34273141.93,5186,16627
416,BLEGNY,13004,50.675899,5.708125,26016794.65,3147,9857
417,FLEMALLE,24963,50.598349,5.440472,36571126.68,5789,19174
418,NEUPRE,9685,50.545438,5.487249,31834835.19,2133,7552
419,TROOZ,7731,50.569476,5.706669,24212703.09,1899,5832
420,AMEL,5345,50.346924,6.180551,125819981.3,1366,3979
421,AUBEL,4146,50.701818,5.850447,18858041.74,1078,3068
422,BAELEN,4156,50.584491,6.044019,85873909.16,1123,3033
423,BUELLINGEN,5471,50.397376,6.313066,150752085.3,1409,4062
424,BUETGENBACH,5610,50.465909,6.208493,97123393.9,1448,4162
425,DISON,14527,50.61536,5.873678,13979374.23,4136,10391
426,EUPEN,18408,50.61143,6.124707,95829590.4,4146,14262
427,HERVE,16755,50.650073,5.795408,56811672.81,4233,12522
428,JALHAY,8040,50.532181,5.965661,106797008.3,2117,5923
429,KELMIS,10566,50.718831,6.022713,18044850.58,2317,8249
430,LIERNEUX,3366,50.309212,5.784762,92259287.18,798,2568
431,LIMBOURG,5680,50.612735,5.936276,24620523.8,1512,4168
432,LONTZEN,5267,50.679093,6.011764,28747210.59,1358,3909
433,MALMEDY,11943,50.432829,6.040764,100428334.6,2901,9042
434,OLNE,3782,50.588722,5.730995,15918824.3,914,2868
435,PEPINSTER,9574,50.573608,5.796246,24980221.33,2644,6930
436,RAEREN,10312,50.666188,6.12354,72404096.41,2408,7904
437,SANKT_VITH,9242,50.288235,6.125043,147198748.8,2116,7126
438,SPA,10549,50.473392,5.866246,39825962.21,2315,8234
439,STAVELOT,6705,50.417848,5.957153,85101717.18,1639,5066
440,STOUMONT,2996,50.409626,5.797636,108581213.4,744,2252
441,THEUX,11763,50.511343,5.816815,83493038.85,3084,8679
442,VERVIERS,54519,50.586363,5.866075,33016681.92,14157,40362
443,WAIMES,6816,50.463537,6.123594,97285769.16,1769,5047
444,WELKENRAEDT,9343,50.66489,5.938309,24685896.76,2186,7157
445,TROIS-PONTS,2529,50.357954,5.883476,68769170.27,650,1879
446,BURG-REULAND,3948,50.204894,6.092252,109926079,997,2951
447,PLOMBIERES,9781,50.726977,5.948309,53261972.35,2372,7409
448,THIMISTER-CLERMONT,5430,50.664292,5.868953,28669636.92,1546,3884
449,BERLOZ,2854,50.705127,5.202245,14455102.59,726,2128
450,BRAIVES,5660,50.616783,5.14868,43990459.81,1464,4196
451,CRISNEE,2906,50.711961,5.395882,16946285.47,710,2196
452,DONCEEL,2883,50.650756,5.325081,23440320.77,727,2156
453,FEXHE-LE-HAUT-CLOCHER,3046,50.665147,5.401335,19517553.91,715,2331
454,GEER,2979,50.670991,5.180743,23588617.16,797,2182
455,HANNUT,14724,50.667375,5.072381,86627783.33,3618,11106
456,LINCENT,3040,50.722845,5.026778,14787150.82,775,2265
457,OREYE,3549,50.724419,5.346403,19592481.44,868,2681
458,REMICOURT,5191,50.686901,5.340233,22660623.25,1255,3936
459,SAINT-GEORGES-SUR-MEUSE,6571,50.597981,5.359768,20941140.96,1622,4949
460,WAREMME,14306,50.695202,5.266056,30806352.79,3100,11206
461,WASSEIGES,2582,50.619185,5.023599,24412772.57,709,1873
462,FAIMES,3614,50.64623,5.241971,28412415.86,916,2698
463,AS,7605,51.010011,5.583958,22100205.67,1725,5880
464,BERINGEN,41984,51.06681,5.23527,78594888.24,9902,32082
465,DIEPENBEEK,18001,50.912821,5.416605,41390047.71,3899,14102
466,GENK,64294,50.968574,5.494146,87632214.36,15500,48794
467,GINGELOM,7966,50.738782,5.168684,56390986.43,1702,6264
468,HALEN,8812,50.951427,5.093511,36624965.53,1828,6984
469,HASSELT,71543,50.936772,5.307426,102671916.1,13575,57968
470,HERK-DE-STAD,11958,50.938709,5.176975,43031733.57,2602,9356
471,LEOPOLDSBURG,14636,51.118652,5.249751,22541177.29,3126,11510
472,LUMMEN,14007,50.996684,5.182477,53655202.91,2878,11129
473,NIEUWERKERKEN,6707,50.880928,5.204068,22402874.21,1374,5333
474,OPGLABBEEK,9807,51.041674,5.570493,25165603.72,2356,7451
475,SINT-TRUIDEN,38828,50.811764,5.202172,107113163.6,7463,31365
476,TESSENDERLO,17228,51.056186,5.068782,51678885,3682,13546
477,ZONHOVEN,20306,50.993253,5.375833,39672562.96,4570,15736
478,ZUTENDAAL,6985,50.934168,5.574565,31985527.81,1528,5457
479,HAM,9974,51.101636,5.160155,32708927.78,2143,7831
480,HEUSDEN-ZOLDER,31278,51.021182,5.288743,53733074.77,7358,23920
481,BOCHOLT,12561,51.188332,5.563103,59345284.7,2894,9667
482,BREE,14774,51.143225,5.631688,64943151.13,3148,11626
483,KINROOI,12118,51.154293,5.75938,54856032.18,2797,9321
484,LOMMEL,32424,51.22696,5.301281,102354512.4,7282,25142
485,MAASEIK,24139,51.08919,5.714171,76996860.39,5256,18883
486,NEERPELT,16247,51.23022,5.458617,42869767.33,3615,12632
487,OVERPELT,13719,51.201629,5.392621,40835750.74,3032,10687
488,PEER,15996,51.129792,5.460783,87270265.09,3668,12328
489,HAMONT-ACHEL,13898,51.261492,5.506486,43770953.32,3085,10813
490,HECHTEL-EKSEL,11612,51.139811,5.345642,76684503.9,2689,8923
491,HOUTHALEN-HELCHTEREN,29993,51.046837,5.407753,77856775.06,7216,22777
492,MEEUWEN-GRUITRODE,12664,51.085772,5.55141,91207093.77,2913,9751
493,DILSEN-STOKKEM,19296,51.037406,5.711432,66023304.42,4341,14955
494,ALKEN,11153,50.879734,5.289763,28232283.15,2525,8628
495,BILZEN,30384,50.873502,5.532843,76084089.33,6661,23723
496,BORGLOON,10339,50.806116,5.340071,51371739.69,2006,8333
497,HEERS,6898,50.755029,5.310995,53092230.83,1367,5531
498,HERSTAPPE,84,50.727304,5.424475,1349631.27,12,72
499,HOESELT,9412,50.846453,5.471657,30114054.83,2011,7401
500,KORTESSEM,8151,50.854397,5.405123,34013908.26,1773,6378
501,LANAKEN,24935,50.900796,5.643598,58829580.88,5054,19881
502,RIEMST,16145,50.806718,5.591438,58076833.84,3267,12878
503,TONGEREN,29859,50.773118,5.463535,87836913.72,5971,23888
504,WELLEN,7102,50.843983,5.322592,26807003.81,1427,5675
505,MAASMECHELEN,36661,50.970227,5.677008,77007197.45,8335,28326
506,VOEREN,4207,50.746664,5.821924,50627366.51,962,3245
507,ARLON,26929,49.676583,5.793179,118951729,6614,20315
508,ATTERT,4944,49.746877,5.756712,71116733.57,1569,3375
509,AUBANGE,15333,49.576269,5.77631,46166891.19,3846,11487
510,MARTELANGE,1566,49.812519,5.724143,29993725.28,398,1168
511,MESSANCY,7620,49.616187,5.81055,52611825.26,1924,5696
512,BASTOGNE,14577,50.017082,5.760819,173065274.1,4031,10546
513,BERTOGNE,3048,50.064581,5.645499,91806903.43,881,2167
514,FAUVILLERS,2116,49.878363,5.695884,74915361.38,609,1507
515,HOUFFALIZE,4819,50.145738,5.770187,167193271.2,1196,3623
516,VIELSALM,7405,50.279503,5.892481,140809460.1,1854,5551
517,VAUX-SUR-SURE,4876,49.935698,5.605801,135697414.9,1464,3412
518,GOUVY,4826,50.193939,5.910657,165474735.4,1337,3489
519,SAINTE-ODE,2345,50.026354,5.527136,98004453.76,608,1737
520,DURBUY,10780,50.362073,5.487527,157025674.1,2601,8179
521,EREZEE,2929,50.297958,5.557074,78905887.38,678,2251
522,HOTTON,5109,50.268828,5.432028,56797576.4,1445,3664
523,LA_ROCHE-EN-ARDENNE,4351,50.167827,5.605085,145847704.6,1057,3294
524,MARCHE-EN-FAMENNE,17134,50.210697,5.342953,122354443.8,4530,12604
525,NASSOGNE,5093,50.138025,5.358095,112886486.6,1394,3699
526,RENDEUX,2358,50.220153,5.517008,71907036.52,599,1759
527,TENNEVILLE,2610,50.101112,5.489394,91989040.69,651,1959
528,MANHAY,3229,50.290375,5.661914,120204685.8,853,2376
529,BERTRIX,8211,49.8554,5.245587,138489539.2,2082,6129
530,BOUILLON,5501,49.807364,5.082514,148731633.9,1225,4276
531,DAVERDISSE,1366,50.005602,5.065717,56868800.17,317,1049
532,HERBEUMONT,1559,49.796697,5.30869,58441610.56,392,1167
533,LEGLISE,4341,49.811251,5.565983,173910718.3,1267,3074
534,LIBIN,4707,49.979489,5.237425,140671846.8,1228,3479
535,NEUFCHATEAU,6700,49.852464,5.432711,114512258.9,1830,4870
536,PALISEUL,5089,49.909102,5.136203,111117394.1,1298,3791
537,SAINT-HUBERT,5811,50.039346,5.34492,111987196,1452,4359
538,TELLIN,2399,50.076759,5.224868,56957998.71,620,1779
539,WELLIN,2990,50.061479,5.097814,67778086.37,779,2211
540,LIBRAMONT-CHEVIGNY,10052,49.947557,5.421617,179002791.3,2691,7361
541,CHINY,5122,49.721588,5.390808,114132751.8,1366,3756
542,ETALLE,5469,49.665342,5.608289,79364178.55,1684,3785
543,FLORENVILLE,5446,49.709043,5.274736,148297971.6,1216,4230
544,MEIX-DEVANT-VIRTON,2724,49.605001,5.469248,55127951.51,688,2036
545,MUSSON,4296,49.570859,5.680346,35444267.44,1205,3091
546,SAINT-LEGER,3200,49.619686,5.675729,36180967.62,855,2345
547,TINTIGNY,3778,49.687172,5.483826,81704372.78,1059,2719
548,VIRTON,11233,49.572633,5.571593,95816697.03,2939,8294
549,HABAY,8026,49.736387,5.616415,103304793.6,2338,5688
550,ROUVROY,2067,49.536781,5.483114,28085318.85,590,1477
551,ANHEE,7014,50.320132,4.809285,66025193.13,1740,5274
552,BEAURAING,8540,50.094411,4.951807,174573938.3,2157,6383
553,BIEVRE,3162,49.923354,5.018912,109646652,751,2411
554,CINEY,15317,50.270863,5.121739,147975221.1,3703,11614
555,DINANT,13186,50.250761,4.942342,99809193.71,3232,9954
556,GEDINNE,4458,49.985752,4.901995,151601389,1069,3389
557,HAMOIS,6752,50.338381,5.138865,76593250.51,1895,4857
558,HAVELANGE,4981,50.362529,5.247322,104785420.7,1374,3607
559,HOUYET,4494,50.187349,5.002135,123114105.6,1095,3399
560,ONHAYE,3139,50.261658,4.811432,65603155.12,819,2320
561,ROCHEFORT,12097,50.158319,5.168525,166440240.1,3097,9000
562,SOMME-LEUZE,4750,50.301065,5.318103,95221154.07,1191,3559
563,YVOIR,8610,50.326601,4.939934,57122757.42,2214,6396
564,HASTIERE,5418,50.196417,4.824998,56739999.44,1083,4335
565,VRESSE-SUR-SEMOIS,2801,49.851586,4.915048,101430592.7,627,2174
566,ANDENNE,24815,50.488126,5.057123,86154711.86,6384,18431
567,ASSESSE,6299,50.376787,4.992153,78574761.34,1700,4599
568,EGHEZEE,14742,50.587989,4.893206,103148428.5,3885,10857
569,FLOREFFE,7567,50.436271,4.754995,39177135.34,1942,5625
570,FOSSES-LA-VILLE,9476,50.394566,4.680183,63267315.88,2505,6971
571,GESVES,6565,50.423806,5.052612,64961342.01,1860,4705
572,METTET,12233,50.324543,4.670491,116842198.3,3195,9038
573,NAMUR,107939,50.461788,4.871817,176030694.1,23771,84168
574,OHEY,4457,50.437126,5.165575,56736343.2,1235,3222
575,PROFONDEVILLE,11501,50.376524,4.827787,50338218.71,3047,8454
576,SOMBREFFE,7801,50.527996,4.601841,35879869.45,2114,5687
577,SAMBREVILLE,27170,50.447791,4.619932,34405570.25,6530,20640
578,FERNELMONT,6860,50.555337,4.986448,65778447.87,1878,4982
579,JEMEPPE-SUR-SAMBRE,18162,50.473112,4.675415,46949445.15,4793,13369
580,LA_BRUYERE,8477,50.531083,4.809009,53195407.01,2333,6144
581,GEMBLOUX,22430,50.555663,4.70834,96395339.56,5427,17003
582,CERFONTAINE_,4624,50.180878,4.436059,83373872.79,1227,3397
583,COUVIN,13576,50.039244,4.480186,207127452.4,3274,10302
584,DOISCHE,2914,50.145573,4.698198,84050683.14,738,2176
585,FLORENNES,10882,50.255122,4.630496,134270256.4,2648,8234
586,PHILIPPEVILLE,8627,50.170582,4.587125,157199178.2,2022,6605
587,WALCOURT,17805,50.267923,4.434166,123765227.1,4325,13480
588,VIROINVAL,5739,50.055185,4.624551,121223456.7,1307,4432
